attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,loss
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,1,1.183043312644075
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,2,1.1518721858995011
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,3,1.1494282683068964
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,4,1.1451206840807682
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,5,1.1427513643479768
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,6,1.1364940000701786
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,7,1.1245607183907942
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,8,1.123158973599392
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,9,1.1205183413207251
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,10,1.1157538556980655
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,11,1.1152054150165984
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,12,1.111764643727878
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,13,1.1087904032227607
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,14,1.1064385565936787
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,15,1.1054351618336011
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,16,1.100662417793262
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,17,1.0972409319843426
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,18,1.0928924217151594
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,19,1.0859134381578668
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,20,1.0774059732152168
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,21,1.072460762541974
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,22,1.0664015801341515
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,23,1.057876130263488
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,24,1.044779994925582
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,25,1.0341910461068562
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,26,1.0213896508984364
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,27,1.0099454343905279
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,28,0.9888696039364278
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,29,0.9833280211999424
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,30,0.9659012509455299
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,31,0.9504746761904825
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,32,0.9362842609515852
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,33,0.9197237138095817
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,34,0.8993488215589298
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,35,0.8804804606384452
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,36,0.8653938021674584
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,37,0.8489445679347042
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,38,0.8312577228655889
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,39,0.8164541407556749
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,40,0.7883087971862677
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,41,0.7808682423498357
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,42,0.7595236198171527
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,43,0.7470421304023388
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,44,0.7259334672357756
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,45,0.7157666167249871
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,46,0.707268547812011
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,47,0.6799200298156027
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,48,0.6635708818872813
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,49,0.6651208506618024
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,50,1,13537,Variable,1193516,,50,0.6402708499160065
